donation,gender,age,edu,spouse,housing,nfamily,inc
100000,2,14,2,1,31,64,660
240000,2,51,3,2,31,62,620
300000,1,51,3,2,31,64,650
40000,2,46,5,2,31,64,650
120000,1,45,4,2,31,64,650
360000,2,41,3,2,31,63,678
20000,2,50,5,2,31,63,660
154000,2,38,7,2,32,64,660
60000,1,48,4,2,33,64,678
120000,2,43,3,2,33,64,678
600000,1,44,6,2,32,63,620
90000,2,32,5,2,32,64,650
1000000,1,49,6,2,32,63,678
150000,2,48,5,2,32,63,678
30000,2,29,4,1,33,61,630
30000,1,15,3,1,33,63,630
90000,2,58,3,2,31,63,620
120000,1,62,3,2,31,62,630
120000,2,60,2,2,31,62,630
